ID,Class,Potential_Energy,N_H1,N_H2,N_I,N_F,H1_H2,H1_I,H1_F,H2_I,H2_F,N_H1_Delta,N_H2_Delta,N_I_Delta,N_F_Delta,H1_H2_Delta,H1_I_Delta,H1_F_Delta,H2_I_Delta,H2_F_Delta
2,DR,-167.0603549968,1.15156700243358,1.02395086689836,2.14268930028455,16.3023939606435,1.68829297021482,2.55370377961184,16.7586070443214,2.58902713368146,15.8359218178503,-0.0293184645815521,0.0241195129448739,-0.00093211428745521,-0.0176145053947288,0.103238906806409,-0.0346348713764257,0.00269556044397135,0.0678253131700113,0.0127249927487512
3,DR,-167.0620862783,0.945468136834348,1.06698359834708,2.14008524338249,16.2875660682049,1.66348993726728,2.44715270299655,16.7038585450055,2.65444908400297,15.8418378524644,-0.206098865599236,0.0430327314487196,-0.00260405690205223,-0.0148278924385288,-0.0248030329475406,-0.106551076615291,-0.0547484993158918,0.0654219503215088,0.0059160346141649
4,DR,-167.063380476,0.960662918672622,1.02421988386193,2.13263229219511,16.2620632052981,1.70172858685619,2.47436985616869,16.7535965747034,2.66094340650104,15.8769735513831,0.0151947818382736,-0.0427637144851492,-0.00745295118738554,-0.025502862906837,0.0382386495889073,0.0272171531721361,0.0497380296979451,0.00649432249807891,0.0351356989186513
5,DR,-167.0523094996,1.14915498771419,0.971374092873293,2.11833692555242,16.2297451500251,1.81854529291416,2.61350083358215,16.8822788576443,2.65550929051029,15.9119700962558,0.188492069041565,-0.0528457909886416,-0.014295366642691,-0.0323180552729596,0.116816706057972,0.139130977413462,0.128682282940826,-0.00543411599074917,0.0349965448727687
6,DR,-167.0584606082,1.1294007705512,1.03390771052807,2.10007027890208,16.2075697334242,1.80542757729991,2.65327408229666,16.88860014385,2.70471536432572,15.9045105943855,-0.0197542171629876,0.0625336176547745,-0.0182666466503356,-0.022175416600934,-0.0131177156142555,0.0397732487145119,0.00632128620577888,0.0492060738154225,-0.00745950187032562
7,DR,-167.0599544016,0.941744048643433,1.07441084276742,2.08392755311692,16.192888569316,1.60650849180762,2.59716264425563,16.7801576996661,2.71623499826561,15.8817768852324,-0.187656721907766,0.040503132239355,-0.0161427257851665,-0.0146811641081719,-0.198919085492284,-0.0561114380410341,-0.108442444183954,0.0115196339398911,-0.0227337091530728
8,DR,-167.064042825,0.976254459342923,1.00885867121504,2.06634339002358,16.16972298802,1.49867530080121,2.66010838045161,16.779616741744,2.63306499379133,15.8510111318235,0.0345104106994903,-0.0655521715523812,-0.0175841630933378,-0.0231655812960696,-0.107833191006415,0.0629457361959789,-0.00054095792209452,-0.0831700044742818,-0.0307657534089909
9,DR,-167.0547995895,1.15235201546002,0.977770419040188,2.04861261764132,16.1448354074347,1.5917287899913,2.77622490605174,16.8483060911641,2.53937484367698,15.7675444347365,0.1760975561171,-0.0310882521748534,-0.0177307723822593,-0.0248875805852897,0.0930534891900909,0.116116525600136,0.0686893494200795,-0.0936901501143441,-0.0834666970869975
10,DR,-167.0594973767,1.13565281967233,1.05766253024352,2.03986139627113,16.1331429520819,1.66645417543028,2.72675048142571,16.791629019735,2.4921371745051,15.6252607279411,-0.0166991957876916,0.0798921112033282,-0.00875122137018813,-0.0116924553527724,0.0747253854389753,-0.0494744246260352,-0.0566770714290641,-0.0472376691718779,-0.142283706795386
11,DR,-167.0619104537,0.954893707408346,1.08546734679661,2.04153125733804,16.127392894144,1.59693621430205,2.53466884706318,16.6253373876211,2.42159054110831,15.5157818823675,-0.180759112263985,0.0278048165530969,0.00166986106691036,-0.00575005793792727,-0.0695179611282246,-0.192081634362527,-0.166291632113921,-0.0705466333967975,-0.10947884557357
12,DR,-167.0643672147,0.971052596407359,1.00148766965177,2.04352868792584,16.1117046704736,1.57717479407684,2.43506028244522,16.5397737479627,2.32325778587268,15.4915142774819,0.0161588889990133,-0.0839796771448429,0.00199743058780388,-0.0156882236703311,-0.0197614202252074,-0.0996085646179639,-0.0855636396583677,-0.0983327552356266,-0.0242676048855728
13,DR,-167.0526621702,1.14346067187484,0.968768989114738,2.04370695637526,16.0929947853669,1.6958775749161,2.44144393317438,16.5308094665587,2.29941297434608,15.4835138954622,0.172408075467476,-0.0327186805370322,0.000178268449420038,-0.0187098851067695,0.118702780839255,0.00638365072916391,-0.00896428140400829,-0.0238448115266023,-0.00800038201972519
14,DR,-167.0557927945,1.13283109348039,1.06765399938871,2.04517378156033,16.0834266355079,1.74415883111554,2.39261951191318,16.4692332988697,2.38748914242686,15.4541693295169,-0.0106295783944466,0.0988850102739735,0.00146682518506891,-0.00956814985891796,0.048281256199443,-0.0488244212611972,-0.0615761676890045,0.0880761680807773,-0.0293445659452782
15,DR,-167.0591135895,0.957450236343157,1.09788551958948,2.04887820692317,16.0743349761107,1.60055033366754,2.309579971465,16.3758878139801,2.47718097506805,15.5019466495763,-0.175380857137232,0.030231520200773,0.00370442536284044,-0.00909165939722456,-0.143608497448005,-0.0830395404481798,-0.0933454848895536,0.0896918326411966,0.0477773200593976
16,DR,-167.0651312225,0.964579238006905,1.00573220530056,2.05389299941686,16.0566189908621,1.49281249607481,2.36029666096546,16.3830537581834,2.52066404324011,15.6280684505845,0.00712900166374819,-0.0921533142889288,0.00501479249368675,-0.0177159852486106,-0.107737837592728,0.0507166895004594,0.00716594420326189,0.0434830681720562,0.126121801008212
17,DR,-167.0578209848,1.13924822181267,0.97319077617415,2.05877850309566,16.0375291058257,1.57615852300753,2.51839702735035,16.486321208367,2.59557393595232,15.7287116782066,0.174668983805765,-0.0325414291264053,0.00488550367879892,-0.0190898850364469,0.0833460269327226,0.158100366384882,0.103267450183576,0.0749098927122125,0.100643227622088
18,DR,-167.0570309706,1.14459994283052,1.07103897185059,2.06638047219953,16.0289297659605,1.655141001902,2.59254902637741,16.5433322262026,2.71920335019538,15.7559518584379,0.00535172101784775,0.0978481956764384,0.00760196910386979,-0.00859933986520645,0.0789824788944729,0.0741519990270643,0.0570110178355705,0.123629414243058,0.0272401802313151
19,DR,-167.0620706702,0.972741948566795,1.09433951451972,2.08302573106497,16.0280767013676,1.58380973396732,2.56254401371561,16.5272558405406,2.75406524473008,15.7512973970259,-0.171857994263723,0.0233005426691288,0.0166452588654362,-0.00085306459282819,-0.071331267934686,-0.0300050126617988,-0.0160763856619681,0.0348618945346968,-0.00465446141203607
20,DR,-167.062887434,0.948704913058791,0.994109256646153,2.10280378603724,16.0230368555577,1.55722702692386,2.60776791373151,16.5806919962552,2.66976311988487,15.7267164985217,-0.0240370355080036,-0.100230257873565,0.019778054972273,-0.00503984580997496,-0.0265827070434594,0.045223900015896,0.0534361557146248,-0.0843021248452076,-0.0245808985041602
21,DR,-167.0572679284,1.11568230953902,0.964515602490968,2.11654426946896,16.0141859353409,1.75112236910457,2.74856929571199,16.7194117889257,2.60065511261014,15.650423156192,0.166977396480232,-0.0295936541551853,0.0137404834317199,-0.00885092021678702,0.193895342180715,0.140801381980487,0.138719792670447,-0.0691080072747319,-0.0762933423297003
22,DR,-167.0545052466,1.11642123169116,1.07567103991491,2.12837057217511,16.0147803607283,1.89141996888577,2.77022101696428,16.7322220046473,2.60777698480818,15.5301012256245,0.000738922152135224,0.111155437423943,0.0118263027061509,0.000594425387436814,0.140297599781197,0.0216517212522844,0.0128102157216574,0.00712187219804328,-0.120321930567506
23,DR,-167.0566652133,0.955671940154673,1.08920336062319,2.14116940242533,16.0168651343184,1.76509766429423,2.67316299608482,16.6098656620266,2.57215694368232,15.4694251913243,-0.160749291536486,0.0135323207082767,0.0127988302502198,0.0020847735901306,-0.126322304591542,-0.09705802087946,-0.122356342620687,-0.0356200411258598,-0.0606760343002097
24,DR,-167.0628306494,0.968493754613133,0.966902929666172,2.14560989825738,16.005163155835,1.61400849850252,2.66745954861358,16.5465965047438,2.48887348189633,15.4910859785533,0.0128218144584608,-0.122300430957015,0.00444049583205208,-0.011701978483476,-0.151089165791705,-0.00570344747123785,-0.0632691572827753,-0.0832834617859874,0.0216607872289618
25,DR,-167.0609837466,1.12748248095988,0.977041662757567,2.14038988557008,15.9899174228759,1.64878097208291,2.73498426453092,16.5351588007821,2.49299558192008,15.4731300328097,0.158988726346743,0.0101387330913946,-0.00522001268729744,-0.0152457329590323,0.0347724735803876,0.0675247159173407,-0.0114377039617324,0.0041221000237508,-0.0179559457435658
26,DR,-167.0571979096,1.13051423402218,1.1171182957491,2.13486620233227,15.9815130895933,1.64928379531704,2.68605764278931,16.4329349135042,2.57102809039201,15.4107647120086,0.00303175306230496,0.140076632991533,-0.00552368323781094,-0.00840433328261625,0.000502823234133087,-0.0489266217416069,-0.102223887277944,0.0780325084719267,-0.062365320801133
27,DR,-167.0596256208,0.985421240381115,1.12007756454714,2.13272347690529,15.9699160006881,1.48564102413915,2.52739764404804,16.2671704190627,2.57957380569098,15.4133539844504,-0.145092993641066,0.00295926879803665,-0.00214272542697813,-0.0115970889052583,-0.163642771177897,-0.158659998741277,-0.165764494441483,0.00854571529897363,0.00258927244185259
28,DR,-167.0602213444,0.966791285146414,0.984795948468686,2.12953517481296,15.9483342660477,1.38830723348087,2.42202460812105,16.1651395421728,2.51571725881493,15.4685559335983,-0.0186299552347011,-0.135281616078451,-0.00318830209233356,-0.0215817346403391,-0.0973337906582785,-0.105373035926989,-0.102030876889852,-0.0638565468760555,0.0552019491478291
29,DR,-167.059455344,1.11282979843557,0.968075541040936,2.12100041778897,15.9244311424587,1.5752636098862,2.41521672725073,16.1592878334758,2.51592925121966,15.4633196336118,0.146038513289161,-0.0167204074277504,-0.00853475702399287,-0.0239031235889868,0.186956376405333,-0.00680788087031914,-0.00585170869707952,0.00021199240473635,-0.00523629998644459
30,DR,-167.0558897666,1.12626909191546,1.10482564177184,2.10783928421225,15.9045767995542,1.78595646236297,2.39332228649686,16.166541376712,2.59626485300344,15.3941581311146,0.0134392934798848,0.136750100730902,-0.0131611335767143,-0.0198543429045674,0.210692852476766,-0.0218944407538682,0.00725354323620664,0.080335601783776,-0.0691615024972272
31,DR,-167.0591212141,0.980853380731296,1.11960759545125,2.09433345884987,15.8816835237375,1.74816467546989,2.35229884874407,16.1632852497141,2.60518536939502,15.3809956966532,-0.145415711184163,0.014781953679412,-0.0135058253623823,-0.0228932758166316,-0.0377917868930795,-0.04102343775279,-0.00325612699783306,0.0089205163915782,-0.0131624344614227
32,DR,-167.0637550147,0.955378783004639,0.972148748712596,2.07987214380722,15.8507279513044,1.62116373531461,2.41880215245362,16.219083858542,2.52569836339262,15.438039652201,-0.0254745977266569,-0.147458846738653,-0.0144613150426527,-0.0309555724330952,-0.127000940155275,0.0665033037095508,0.0557986088278959,-0.0794870060024024,0.0570439555478686
33,DR,-167.0617557719,1.09982274283579,0.951527935729036,2.05936476650715,15.8198708912635,1.69166074867142,2.59197703201282,16.3399123496886,2.52842662624794,15.4546446128676,0.144443959831152,-0.0206208129835602,-0.0205073773000701,-0.0308570600409546,0.0704970133568086,0.173174879559195,0.120828491146582,0.00272826285532712,0.0166049606665908
34,DR,-167.0575866788,1.1158838350738,1.11305813876525,2.03868855079347,15.800087850292,1.7682190098143,2.68344395297775,16.3856451518975,2.63373278852902,15.4065769562765,0.0160610922380076,0.161530203036215,-0.0206762157136828,-0.0197830409714612,0.0765582611428779,0.0914669209649297,0.0457328022088745,0.105306162281077,-0.0480676565910905
35,DR,-167.0581166726,0.985744812274422,1.12672774313851,2.02950233046921,15.7853846346028,1.61374234609382,2.65629992658109,16.3290093744876,2.6357427493142,15.3922012626744,-0.130139022799377,0.0136696043732631,-0.00918622032425898,-0.0147032156891953,-0.154476663720476,-0.0271440263966616,-0.0566357774098876,0.00200996078517779,-0.0143756936021031
36,DR,-167.0577043019,0.95846333271069,0.968932539229766,2.0271813249742,15.7669357565062,1.4417865485928,2.66447382415527,16.3019378787522,2.51599909256896,15.4081915860196,-0.0272814795637321,-0.157795203908749,-0.00232100549500247,-0.0184488780965726,-0.171955797501024,0.00817389757418319,-0.0270714957353988,-0.119743656745238,0.0159903233451999
37,DR,-167.0588388536,1.08899371385569,0.954704000058046,2.02385413469818,15.7503968701066,1.56940823159475,2.74101811737061,16.3461327704807,2.46332269839216,15.3491268350833,0.130530381145,-0.0142285391717197,-0.00332719027602035,-0.0165388863996228,0.12762168300195,0.0765442932153397,0.0441948917285266,-0.0526763941767983,-0.05906475093634
38,DR,-167.0568132725,1.10594531709077,1.1194294933879,2.02718975081912,15.7459463092136,1.77113222649778,2.70415547170384,16.3115472866693,2.51388393334147,15.2219489357426,0.0169516032350825,0.164725493329856,0.00333561612093725,-0.00445056089299278,0.201723994903036,-0.0368626456667647,-0.0345854838114334,0.0505612349493085,-0.127177899340669
39,DR,-167.0608421006,0.989275448429885,1.12960218389021,2.04149465998349,15.7436596553841,1.74055973994681,2.5436327318219,16.1769316564001,2.49404605669249,15.1761081149295,-0.116669868660888,0.0101726905023107,0.0143049091643697,-0.00228665382953075,-0.0305724865509733,-0.160522739881947,-0.134615630269209,-0.0198378766489826,-0.0458408208131207
40,DR,-167.063939493,0.972687369580123,0.961410537948518,2.05840983504766,15.7347562342049,1.60556562077363,2.42116908768786,16.0528308827343,2.40425719199933,15.2333577713436,-0.0165880788497627,-0.168191645941695,0.016915175064165,-0.00890342117922849,-0.134994119173182,-0.122463644134038,-0.124100773665738,-0.0897888646931611,0.0572496564141129
41,DR,-167.0607697259,1.08153046252548,0.954311329876072,2.07104293637174,15.7287848478484,1.65689102505713,2.39002441278101,15.976324097362,2.42933618643126,15.2441956295225,0.108843092945353,-0.00709920807244624,0.012633101324079,-0.00597138635645855,0.0513254042834981,-0.0311446749068445,-0.0765067853723629,0.0250789944319343,0.0108378581789168
42,DR,-167.0563099683,1.08698520149868,1.13797278638359,2.08059817505346,15.7299948727694,1.74373096493118,2.35882080209187,15.9010471637548,2.57034290837878,15.1910516744856,0.00545473897320581,0.183661456507519,0.00955523868172481,0.00121002492098832,0.0868399398740536,-0.0312036106891456,-0.0752769336071335,0.141006721947518,-0.0531439550369512
43,DR,-167.0555749277,0.989545192497522,1.15713188260837,2.09192809094645,15.7259709654623,1.61597257785983,2.33292543490537,15.8420689909296,2.62338586847006,15.2155624462355,-0.0974400090011597,0.0191590962247812,0.0113299158929885,-0.0040239073071362,-0.127758387071355,-0.0258953671865014,-0.0589781728252632,0.053042960091283,0.024510771749954
44,DR,-167.063142608,0.98471797482057,0.986962708467971,2.10505705121867,15.7137203477904,1.42675821383272,2.39460019000907,15.8466164151226,2.56624523639776,15.3106222127922,-0.0048272176769526,-0.170169174140402,0.0131289602722262,-0.0122506176718495,-0.18921436402711,0.0616747551036987,0.0045474241929746,-0.0571406320723016,0.095059766556691
45,DR,-167.0587243754,1.08620403998042,0.942808789783087,2.11468891749433,15.7021452459517,1.47539438099943,2.52618297944669,15.9204770922398,2.57365142075992,15.3448944054897,0.101486065159854,-0.0441539186848839,0.00963186627566026,-0.0115751018387051,0.0486361671667119,0.13158278943762,0.0738606771172297,0.00740618436216378,0.0342721926974505
