ID,Class,Potential_Energy,N_H1,N_H2,N_I,N_F,H1_H2,H1_I,H1_F,H2_I,H2_F,N_H1_Delta,N_H2_Delta,N_I_Delta,N_F_Delta,H1_H2_Delta,H1_I_Delta,H1_F_Delta,H2_I_Delta,H2_F_Delta
2,DR,-167.0629066416,1.05205980806386,1.09361758172207,2.1080833200404,16.4413684802883,1.66746727380538,2.6446066668326,17.1123754731301,2.77610058227414,16.3122349815591,0.0525555796509307,0.189781184652077,-0.0233513291656449,-0.0280244532332112,0.114083304565423,2.9564191246223E-06,-0.0233640098411918,0.176455631411376,0.0460321759257845
3,DR,-167.0498888518,1.047340166173,1.19422709423429,2.0896672817268,16.4170663629115,1.69971433907308,2.59206837673157,17.0385881263787,2.85384905848085,16.3202408247473,-0.00471964189086416,0.100609512512218,-0.0184160383135974,-0.0243021173767453,0.0322470652676956,-0.0525382901010363,-0.0737873467514412,0.0777484762067124,0.00800584318815467
4,DR,-167.0659511302,1.00102390786147,1.05724601045983,2.08173514652788,16.3959883373188,1.55103323905117,2.49973466396982,16.9301052482545,2.72983963701863,16.2909976501436,-0.0463162583115309,-0.136981083774463,-0.00793213519892211,-0.0210780255927858,-0.148681100021904,-0.0923337127617447,-0.10848287812416,-0.12400942146222,-0.029243174603689
5,DR,-167.0535810112,1.00751071683965,0.90232287659022,2.07652645076435,16.3768470192827,1.46400576720913,2.43185608229007,16.8553177312024,2.55371163536545,16.205529384413,0.00648680897818155,-0.154923133869608,-0.00520869576352823,-0.0191413180360307,-0.0870274718420465,-0.067878581679754,-0.074787517052112,-0.176128001653182,-0.0854682657306078
6,DR,-167.0668474598,1.04791515702363,1.07737363369595,2.06455860430471,16.3633652180877,1.66301357626396,2.40082529450096,16.8243671463093,2.55429496673183,16.0333004119732,0.0404044401839829,0.175050757105727,-0.0119678464596391,-0.0134818011949882,0.199007809054836,-0.0310307877891067,-0.0309505848931515,0.000583331366381667,-0.172228972439854
7,DR,-167.0496585531,1.04177261223219,1.20365687938218,2.0542731271898,16.3502409982107,1.78209120274987,2.38192888811686,16.8026043664024,2.53700369439633,15.883255499044,-0.00614254479144183,0.126283245686234,-0.0102854771149139,-0.0131242198770742,0.119077626485903,-0.0188964063841039,-0.0217627799068367,-0.0172912723355019,-0.150044912929188
8,DR,-167.0635749135,1.00474555947709,1.08827194231067,2.04763412422939,16.331585034927,1.66751812288919,2.38589505390934,16.7927796550019,2.40383768440437,15.8399315056595,-0.0370270527551049,-0.115384937071516,-0.00663900296040776,-0.0186559632836811,-0.114573079860675,0.00396616579247944,-0.00982471140051189,-0.133166009991958,-0.0433239933844636
9,DR,-167.0494289173,1.00961483319016,0.894859705306745,2.04193322268294,16.3090777148865,1.51444610277815,2.4431193836762,16.8244958512875,2.27065989304471,15.8678171379032,0.00486927371307422,-0.19341223700392,-0.00570090154645131,-0.0225073200404964,-0.153072020111038,0.0572243297668598,0.0317161962855614,-0.133177791359659,0.0278856322436951
10,DR,-167.0665752935,1.04147194194644,1.04300574749509,2.0352098291121,16.2964176172836,1.63340990494597,2.53224925145754,16.885280949464,2.34264477929295,15.7998445170439,0.0318571087562778,0.148146042188344,-0.00672339357083196,-0.0126600976028826,0.118963802167816,0.0891298677813461,0.060785098176563,0.0719848862482455,-0.0679726208592548
11,DR,-167.0501311861,1.04307068680449,1.20067080107004,2.03198736288264,16.2859261039898,1.73045953413779,2.59767663075519,16.9244722986043,2.46873200502811,15.7728723001019,0.00159874485804878,0.157665053574947,-0.00322246622946132,-0.0104915132937826,0.0970496291918201,0.0654273792976432,0.0391913491402889,0.126087225735155,-0.0269722169420596
